변동일자,주총종류,선임,선임,임기만료또는 해임
변동일자,주총종류,신규,재선임,임기만료또는 해임
2019.03.20,정기주총,사외이사 김한조사외이사 안규리,사외이사 박재완,사외이사 이인호사외이사 송광수
2019.10.26,-,-,-,사내이사 이재용
2020.03.18,정기주총,사내이사 한종희사내이사 최윤호,-,-
2021.03.17,정기주총,-,사내이사 김기남사내이사 김현석사내이사 고동진사외이사 박병국사외이사 김종훈(감사위원회 위원이 되는)사외이사 김선욱,-
2021.03.17,-,-,대표이사 김기남대표이사 김현석대표이사 고동진,-
2022.02.15,-,대표이사 한종희,-,대표이사 김기남(사임)대표이사 김현석(사임)대표이사 고동진(사임)
2022.03.16,정기주총,사내이사 경계현사내이사 노태문사내이사 박학규사내이사 이정배사외이사 한화진사외이사 김준성,사외이사 김한조,-
2022.03.16,-,대표이사 경계현,-,-
2022.11.03,임시주총,사외이사 허은녕사외이사 유명희,-,-
2023.03.15,정기주총,-,사내이사 한종희,-
2023.03.15,-,-,대표이사 한종희,-
