연도,내용
2019,'갤럭시 S10 5G' 5G 스마트폰 출시
2019,소비자 라이프스타일 맞춤형 냉장고 '비스포크(BESPOKE)' 출시
2019,'엑시노스 980' 5G 모바일 프로세서 공개
2019,'갤럭시 폴드' 새로운 폼팩터 폴더블폰 공개
2020,'그랑데 AI' 인공지능 기반 세탁기ㆍ건조기 출시
2020,AIㆍ차세대 슈퍼컴퓨터용 초고속 DRAM 출시
2020,'갤럭시 Z 플립' 폴더블폰 공개
2020,세계 최대 규모 평택 반도체 2라인 가동
2021,'Neo QLED TV' 공개
2021,전세계 반도체 업체 최초 전 사업장 '탄소/물/폐기물 저감' 인증
2021,업계 최선단 14나노 EUV DDR5 D램 양산
2021,미국 테일러市에 신규 파운드리 라인 투자 발표
2022,비스포크 인피니트 라인 공개
2022,세계 최초 3나노 GAA 파운드리 양산
2022,차세대 반도체 R&D단지 기공식
2022,1Tb 8세대 V낸드 양산
2023,초고화소 기술 집약된 2억 화소 이미지센서 '아이소셀 HP2' 출시
2023,'갤럭시 S23' 시리즈 공개
2023,업계 최초고용량 메모리 처리를 위한'CXL 2.0 D램'  개발
2023,업계 최선단 12나노급 D램 양산
2023,체험형 플래그십 스토어 '삼성 강남' 오픈
2023,업계 최초그래픽용 고성능GDDR7 D램 개발
2023,"'갤럭시 Z 폴드5', '갤럭시 Z 플립5' 공개"
2023,현존 최대 용량 32Gb DDR5 D램 개발
2023,업계 최초차세대 D램LPCAMM 개발
2023,생성형 AI '삼성 가우스' 공개
