부  문,품 목,구체적 용도,매입액,비중,주요 매입처
DX 부문,모바일AP 솔루션,CPU,"117,320",18.1%,"Qualcomm, MediaTek 등"
DX 부문,디스플레이 패널,TVㆍ모니터용 화면표시장치,"58,624",9.0%,"CSOT, AUO 등"
DX 부문,Camera Module,스마트폰 카메라,"52,124",8.0%,"삼성전기㈜, ㈜파워로직스 등"
DX 부문,기타,-,"421,425",64.9%,
DX 부문,소 계,소 계,"649,493",100.0%,
DS 부문,Chemical,원판 가공,"25,700",15.7%,"솔브레인㈜, 동우화인켐㈜ 등"
DS 부문,Wafer,반도체 원판,"22,393",13.7%,"SK실트론㈜, SUMCO 등"
DS 부문,기타,-,"115,283",70.6%,
DS 부문,소 계,소 계,"163,376",100.0%,
SDC,FPCA,구동회로,"24,307",22.2%,"㈜비에이치, 영풍전자㈜ 등"
SDC,Cover Glass,강화유리,"16,856",15.4%,"Apple, Biel 등"
SDC,기타,-,"68,121",62.4%,
SDC,소 계,소 계,"109,284",100.0%,
Harman,SOC(System-On-Chip),CPU,"7,678",9.9%,"NVIDIA, Intel 등"
Harman,통신 모듈,차량 통신,"4,752",6.1%,WNC(Wistron NeWeb Corp.) 등
Harman,기타,-,"65,503",84.0%,
Harman,소 계,소 계,"77,933",100.0%,
기타,-,-,462,-,
총  계,총  계,총  계,"1,000,548",-,
