지역,사업장,소재지
"국내(DX 부문,DS 부문,SDC 산하12개 사업장)",수원사업장,경기도 수원시 영통구 삼성로 129(매탄동)
"국내(DX 부문,DS 부문,SDC 산하12개 사업장)",서초사업장,서울특별시 서초구 서초대로74길 11(서초동)
"국내(DX 부문,DS 부문,SDC 산하12개 사업장)",우면사업장,서울특별시 서초구 성촌길 33(우면동)
"국내(DX 부문,DS 부문,SDC 산하12개 사업장)",기흥사업장,경기도 용인시 기흥구 삼성로 1(농서동)
"국내(DX 부문,DS 부문,SDC 산하12개 사업장)",화성사업장,경기도 화성시 삼성전자로 1(반월동)
"국내(DX 부문,DS 부문,SDC 산하12개 사업장)",평택사업장,경기도 평택시 고덕면 삼성로 114
"국내(DX 부문,DS 부문,SDC 산하12개 사업장)",천안사업장,충청남도 천안시 서북구 번영로 465 (성성동)
"국내(DX 부문,DS 부문,SDC 산하12개 사업장)",온양사업장,충청남도 아산시 배방읍 배방로 158 (북수리)
"국내(DX 부문,DS 부문,SDC 산하12개 사업장)",아산사업장,충청남도 아산시 탕정면 삼성로 181 (명암리)
"국내(DX 부문,DS 부문,SDC 산하12개 사업장)",구미1사업장,경상북도 구미시 1공단로 244(공단동)
"국내(DX 부문,DS 부문,SDC 산하12개 사업장)",구미2사업장,경상북도 구미시 3공단3로 302(임수동)
"국내(DX 부문,DS 부문,SDC 산하12개 사업장)",광주사업장,광주광역시 광산구 하남산단6번로 107(오선동)
해외(DX 부문 산하9개 지역총괄),북미 총괄,"85 Challenger Rd., Ridgefield Park, New Jersey, USA"
해외(DX 부문 산하9개 지역총괄),구주 총괄,"2000 Hillswood Drive, Chertsey, Surrey, UK"
해외(DX 부문 산하9개 지역총괄),중국 총괄,"No.31, Jinghui Street, Chaoyang, Beijing, China"
해외(DX 부문 산하9개 지역총괄),동남아 총괄,"30 Pasir Panjang Rd., Mapletree Business City, Singapore"
해외(DX 부문 산하9개 지역총괄),서남아 총괄,"Two Horizon Centre, Golf Course RD, Gurgaon, Haryana, India"
해외(DX 부문 산하9개 지역총괄),CIS 총괄,"31 Novinsky Boulevard, Moscow, Russia"
해외(DX 부문 산하9개 지역총괄),중동 총괄,"Butterfly Building A, Dubai Media City, Dubai, UAE"
해외(DX 부문 산하9개 지역총괄),아프리카 총괄,"2929 William Nicol Drive, Bryanston, Johannesburg, South Africa"
해외(DX 부문 산하9개 지역총괄),중남미 총괄,"Av. Dr. Chucri Zaidan, 1240 Diamond Tower, Sao Paulo, Brazil"
해외(DS 부문 산하5개 지역총괄),미주 총괄,"3655 N. 1st St. San Jose, California, USA"
해외(DS 부문 산하5개 지역총괄),구주 총괄,"Einsteinstrasse 174, 81677, Munich, Germany"
해외(DS 부문 산하5개 지역총괄),중국 총괄,"3F, No.458, Fute North Rd., Shanghai, China"
해외(DS 부문 산하5개 지역총괄),동남아 총괄,"3 Church Street, #26-01 Samsung Hub, Singapore"
해외(DS 부문 산하5개 지역총괄),일본 총괄,"Shinagawa Grand Central Tower, Konan, Minato, Tokyo, Japan"
Harman,미국 HQ,"400 Atlantic St., Stamford, Connecticut, USA"
Harman,"Harman Becker Automotive Systems, Inc.","30001 Cabot Drive, Novi, Michigan, USA"
Harman,Harman Becker Automotive Systems GmbH,"16 Becker Goering St., Karlsbad, Germany"
Harman,Harman Consumer Nederland B.V.,"16 Danzigerkade, 1013 AP, Amsterdam, Netherlands"
