구     분,구     분,토지,건물및구축물,기계장치,건설중인자산,기타유형자산,계
기초,기초장부금액,"98,922","407,069","797,146","336,076","41,241","1,680,454"
기초,- 취득원가,"100,246","677,138","3,030,006","336,076","132,485","4,275,951"
기초,- 감가상각누계액(손상 포함),"△1,324","△270,069","△2,232,860",-,"△91,244","△2,595,497"
증감,일반취득 및 자본적지출,"1,723","64,986","336,417","131,418","14,620","549,164"
증감,사업결합으로 인한 취득,-,181,201,347,2,731
증감,감가상각,△494,"△38, 843","△300,316",-,"△15,671","△355,324"
증감,처분ㆍ폐기ㆍ손상,△259,"△2,126",△847,△3,△380,"△3,615"
증감,매각예정분류,△66,△543,△371,△63,△141,"△1,184"
증감,기타,168,"1,657",862,△572,222,"2,337"
기말,기말장부금액,"99,994","432,381","833,092","467,203","39,893","1,872,563"
기말,- 취득원가,"101,580","736,900","3,285,615","467,203","140,586","4,731,884"
기말,- 감가상각누계액(손상 포함),"△1,586","△304,519","△2,452,523",-,"△100,693","△2,859,321"
