부문,연구과제 등,연구결과 및 기대효과 등
DX 부문,갤럭시 폴더블,ㆍGalaxy Z Fold5 출시ㆍGalaxy Z Flip5 출시
DX 부문,갤럭시 S23,ㆍGalaxy S23ㆍS23+ㆍS23 Ultra 출시
DX 부문,갤럭시 탭,ㆍGalaxy Tab S9ㆍS9+ㆍS9 Ultra출시
DX 부문,갤럭시 A,ㆍGalaxy A54 5G 출시ㆍGalaxy A34 5G 출시ㆍGalaxy A24 LTE 출시ㆍGalaxy A14 LTEㆍ5G 출시
DX 부문,갤럭시북,ㆍGalaxy Book3 Ultra 출시ㆍGalaxy Book3 Pro 360 출시ㆍGalaxy Book3 Pro 출시ㆍGalaxy Book3 360 출시
DX 부문,웨어러블,ㆍGalaxy Watch6/ Galaxy Watch6 Classic 출시
DX 부문,Neo QLED 8K,ㆍMini LED 기반 초고화질 & 슬림 8K TV 출시
DX 부문,Neo QLED 4K,"ㆍMini LED 기반 3개 시리즈,6개 사이즈 출시"
DX 부문,냉장고,ㆍ핵심 부품 고효율화로 에너지 1등급보다 더아끼는 초고효율 모델 출시
DX 부문,세탁기,ㆍ세탁/건조 일체형 BESPOKE 그랑데AI 원바디 Top-Fit 출시
DX 부문,청소기,ㆍ세계최고 성능(흡입력/사용시간) 스틱 청소기 BESPOKE 제트AI 280W 출시
DX 부문,RAN S/W Package,ㆍ업계 최초 4세대 CPU 기반 가상화 기지국 무선접속망(vRAN) 상용망 적용
DS 부문,모바일 DRAM,ㆍ업계 최초 LPCAMM 개발
DS 부문,서버용 DRAM,ㆍ업계 최선단 12나노급 D램 양산ㆍ현존 최대 용량 32Gb DDR5 D램 개발
DS 부문,HBM,ㆍ초고성능 HBM3E D램 '샤인볼트(Shinebolt)' 공개
DS 부문,SSD,ㆍ5나노 기반 컨트롤러 탑재한 PC용 고성능 SSD 'PM9C1a' 양산ㆍ초고속 포터블 SSD 출시ㆍ업계 최대 용량 8Tb 포터블 SSD 출시
DS 부문,엑시노스,ㆍ5G 기반 위성통신용 모뎀 국제 표준기술 확보(NTN: Non Terrestrial Network)ㆍ근거리 무선통신용 반도체 '엑시노스 커넥트 U100' 출시
DS 부문,이미지센서,"ㆍ초고화소 2억화소 이미지센서 출시(HP2, 0.6um/200Mp)"
SDC,OLED,"ㆍ초고해상도 VR용 OLED 개발ㆍ노트북용 14/16"" OLED 개발"
