,index,Date,Open,High,Low,Close,Volume,Change
0,5171,2021-01-04,81000,84400,80200,83000,38655276,0.024691358024691468
1,5172,2021-01-05,81600,83900,81600,83900,35335669,0.010843373493975905
2,5173,2021-01-06,83300,84500,82100,82200,42089013,-0.020262216924910592
3,5174,2021-01-07,82800,84200,82700,82900,32644642,0.008515815085158085
4,5175,2021-01-08,83300,90000,83000,88800,59013307,0.07117008443908324
5,5176,2021-01-11,90000,96800,89500,91000,90306177,0.024774774774774855
6,5177,2021-01-12,90300,91400,87800,90600,48682416,-0.00439560439560438
7,5178,2021-01-13,89800,91200,89100,89700,36068848,-0.009933774834437137
8,5179,2021-01-14,88700,90000,88700,89700,26393970,0.0
9,5180,2021-01-15,89800,91800,88000,88000,33431809,-0.018952062430323324
10,5181,2021-01-18,86600,87300,84100,85000,43227951,-0.03409090909090906
11,5182,2021-01-19,84500,88000,83600,87000,39895044,0.0235294117647058
12,5183,2021-01-20,89000,89000,86500,87200,25211127,0.0022988505747125743
13,5184,2021-01-21,87500,88600,86500,88100,25318011,0.010321100917431103
14,5185,2021-01-22,89000,89700,86800,86800,30861661,-0.014755959137343955
15,5186,2021-01-25,87000,89900,86300,89400,27258534,0.02995391705069128
16,5187,2021-01-26,88800,89200,86500,86700,33178936,-0.030201342281879207
17,5188,2021-01-27,86600,87700,85600,85600,26423070,-0.012687427912341454
18,5189,2021-01-28,83200,85600,83200,83700,31859808,-0.02219626168224298
19,5190,2021-01-29,84500,85000,82000,82000,39615978,-0.020310633213859064
20,5191,2021-02-01,81700,83400,81000,83000,28046832,0.012195121951219523
21,5192,2021-02-02,84100,86400,83700,84400,26302077,0.01686746987951815
22,5193,2021-02-03,84800,85400,83400,84600,22112205,0.0023696682464455776
23,5194,2021-02-04,83500,83800,82100,82500,24171688,-0.024822695035460973
24,5195,2021-02-05,83100,84000,82500,83500,18036835,0.0121212121212122
25,5196,2021-02-08,83800,84200,83000,83000,15338765,-0.005988023952095856
26,5197,2021-02-09,84000,84800,82700,82700,20898332,-0.0036144578313253017
27,5198,2021-02-10,82600,82600,81600,81600,23025766,-0.013301088270858519
28,5199,2021-02-15,83800,84500,83300,84200,23529706,0.031862745098039325
29,5200,2021-02-16,84500,86000,84200,84900,20483100,0.008313539192398967
30,5201,2021-02-17,83900,84200,83000,83200,18307735,-0.020023557126030656
31,5202,2021-02-18,83200,83600,82100,82100,21327683,-0.013221153846153855
32,5203,2021-02-19,82300,82800,81000,82600,25880879,0.006090133982947554
33,5204,2021-02-22,83800,84200,82200,82200,25419886,-0.004842615012106588
34,5205,2021-02-23,81200,82900,81100,82000,20587314,-0.0024330900243308973
35,5206,2021-02-24,81800,83600,81300,82000,26807651,0.0
36,5207,2021-02-25,84000,85400,83000,85300,34155986,0.040243902439024426
37,5208,2021-02-26,82800,83400,82000,82500,38520800,-0.03282532239155922
38,5209,2021-03-02,85100,85300,83000,83600,33498180,0.01333333333333342
39,5210,2021-03-03,83500,84000,82800,84000,19882132,0.004784688995215225
40,5211,2021-03-04,82600,83200,82200,82400,24348331,-0.01904761904761909
41,5212,2021-03-05,81100,82600,81100,82100,20508971,-0.00364077669902918
42,5213,2021-03-08,82900,83000,81600,82000,17641256,-0.0012180267965895553
43,5214,2021-03-09,81400,81900,80600,81400,25420764,-0.007317073170731714
44,5215,2021-03-10,82400,82500,80700,80900,20038422,-0.00614250614250611
45,5216,2021-03-11,81000,82500,81000,82000,23818297,0.013597033374536549
46,5217,2021-03-12,83100,83500,82400,82800,13530573,0.009756097560975618
47,5218,2021-03-15,82800,82900,81800,81800,13735798,-0.012077294685990392
48,5219,2021-03-16,82200,83000,82100,82800,12293537,0.012224938875305513
49,5220,2021-03-17,82800,82900,82000,82300,11625146,-0.006038647342995196
50,5221,2021-03-18,82800,83800,82600,82900,18585244,0.007290400972053357
51,5222,2021-03-19,82100,82500,81800,81900,15869700,-0.012062726176115812
52,5223,2021-03-22,82000,82300,81700,82000,12670506,0.0012210012210012167
53,5224,2021-03-23,82600,82900,81800,81800,13299907,-0.0024390243902439046
54,5225,2021-03-24,81000,81600,80700,81000,17926638,-0.009779951100244544
55,5226,2021-03-25,81000,82100,80800,81200,14758826,0.0024691358024691024
56,5227,2021-03-26,81400,81600,81000,81500,12845778,0.003694581280788256
57,5228,2021-03-29,81700,81700,81000,81600,14952134,0.0012269938650306678
58,5229,2021-03-30,81600,82300,81300,82200,13121698,0.007352941176470562
59,5230,2021-03-31,82400,82700,81400,81400,17240518,-0.009732360097323589
60,5231,2021-04-01,82500,83000,82000,82900,18676461,0.01842751842751844
61,5232,2021-04-02,84000,85200,83900,84800,22997538,0.022919179734619988
62,5233,2021-04-05,85800,86000,84800,85400,16255990,0.007075471698113178
63,5234,2021-04-06,86200,86200,85100,86000,19042023,0.007025761124121788
64,5235,2021-04-07,86100,86200,85400,85600,17885538,-0.0046511627906976605
65,5236,2021-04-08,85700,85700,84100,84700,19244259,-0.010514018691588745
66,5237,2021-04-09,84700,84900,83400,83600,18193707,-0.012987012987012991
67,5238,2021-04-12,84100,84100,83100,83200,12915282,-0.004784688995215336
68,5239,2021-04-13,83000,84500,82800,84000,15238206,0.009615384615384581
69,5240,2021-04-14,84000,84300,83400,84000,13794652,0.0
70,5241,2021-04-15,83700,84500,83400,84100,16377412,0.0011904761904761862
71,5242,2021-04-16,84700,84700,83600,83900,15429522,-0.0023781212841854638
72,5243,2021-04-19,83800,84000,83300,83300,15287311,-0.007151370679380209
73,5244,2021-04-20,83300,84000,83100,83900,15521965,0.007202881152460927
74,5245,2021-04-21,83300,83500,82500,82600,21636079,-0.015494636471990453
75,5246,2021-04-22,82900,83000,82400,82400,13934746,-0.002421307506053294
76,5247,2021-04-23,81900,82900,81600,82800,17805080,0.004854368932038833
77,5248,2021-04-26,82900,83500,82600,83500,15489938,0.008454106280193274
78,5249,2021-04-27,83200,83300,82500,82900,12941533,-0.007185628742514938
79,5250,2021-04-28,83200,83200,82100,82100,15596759,-0.00965018094089265
80,5251,2021-04-29,82400,82500,81500,81700,20000973,-0.00487210718635811
81,5252,2021-04-30,81900,82100,81500,81500,18673197,-0.002447980416156681
82,5253,2021-05-03,81000,82400,81000,81700,15710336,0.0024539877300613355
83,5254,2021-05-04,81900,82600,81800,82600,12532550,0.01101591187270512
84,5255,2021-05-06,81700,82300,81700,82300,17047511,-0.003631961259079941
85,5256,2021-05-07,81800,82100,81500,81900,14154882,-0.004860267314702349
86,5257,2021-05-10,82300,83500,81800,83200,19385027,0.015873015873015817
87,5258,2021-05-11,82500,82600,81100,81200,28996680,-0.024038461538461564
88,5259,2021-05-12,80800,81200,79800,80000,35812268,-0.014778325123152691
89,5260,2021-05-13,78900,79600,78400,78500,31490096,-0.018750000000000044
90,5261,2021-05-14,79000,80300,78900,80100,16450920,0.020382165605095537
91,5262,2021-05-17,80800,80900,79200,79600,17740855,-0.006242197253433224
92,5263,2021-05-18,79600,80000,79100,79600,17494407,0.0
93,5264,2021-05-20,79400,79700,79100,79500,16541828,-0.0012562814070351536
94,5265,2021-05-21,80100,81500,79800,80100,20961714,0.007547169811320753
95,5266,2021-05-24,80100,80400,79500,79700,13398666,-0.004993757802746579
96,5267,2021-05-25,80000,80400,79800,79900,13628942,0.0025094102885820924
97,5268,2021-05-26,80400,80500,79700,79800,11984359,-0.0012515644555695093
98,5269,2021-05-27,80000,80000,79100,79600,23198510,-0.0025062656641604564
99,5270,2021-05-28,79800,80400,79400,80100,12360199,0.00628140703517599
100,5271,2021-05-31,80300,80600,79600,80500,13321324,0.004993757802746579
101,5272,2021-06-01,80500,81300,80100,80600,14058401,0.001242236024844745
102,5273,2021-06-02,80400,81400,80300,80800,16414644,0.002481389578163684
103,5274,2021-06-03,81300,83000,81100,82800,29546007,0.024752475247524774
104,5275,2021-06-04,82700,82700,81500,82200,18112259,-0.007246376811594235
105,5276,2021-06-07,82700,82800,81600,81900,16496197,-0.0036496350364964014
106,5277,2021-06-08,82300,82600,81800,81900,12781226,0.0
107,5278,2021-06-09,81500,82000,81100,81100,14908823,-0.009768009768009733
108,5279,2021-06-10,81300,81400,80900,81000,17586995,-0.0012330456226880004
109,5280,2021-06-11,81200,81700,80700,81000,14087962,0.0
110,5281,2021-06-14,80800,80900,80500,80500,10550078,-0.006172839506172867
111,5282,2021-06-15,80900,81200,80600,80900,10075685,0.00496894409937898
112,5283,2021-06-16,81500,81900,81100,81800,14999855,0.011124845488257096
113,5284,2021-06-17,81100,81300,80700,80900,14007385,-0.011002444987775029
114,5285,2021-06-18,81100,81100,80500,80500,14916721,-0.0049443757725586845
115,5286,2021-06-21,79700,80000,79600,79900,16063340,-0.007453416149068359
116,5287,2021-06-22,80200,80300,79900,80000,11773365,0.0012515644555695093
117,5288,2021-06-23,80500,80600,79900,80100,13856548,0.0012499999999999734
118,5289,2021-06-24,80400,81400,80100,81200,18771080,0.013732833957553092
119,5290,2021-06-25,81500,81900,81200,81600,13481405,0.0049261083743843415
120,5291,2021-06-28,81700,82000,81600,81900,11578529,0.003676470588235281
121,5292,2021-06-29,81900,82100,80800,81000,15744317,-0.01098901098901095
122,5293,2021-06-30,81100,81400,80700,80700,13288643,-0.0037037037037036535
123,5294,2021-07-01,80500,80600,80000,80100,13382882,-0.0074349442379182396
124,5295,2021-07-02,80000,80400,79900,80000,8753097,-0.0012484394506866447
125,5296,2021-07-05,80100,80800,80000,80400,8330969,0.004999999999999893
126,5297,2021-07-06,80600,81200,80500,81200,12131651,0.00995024875621886
127,5298,2021-07-07,81200,81300,80300,80800,15992202,-0.0049261083743842304
128,5299,2021-07-08,81100,81200,79900,79900,16660998,-0.011138613861386149
129,5300,2021-07-09,79600,79800,79000,79400,22720577,-0.006257822277847325
130,5301,2021-07-12,79900,80000,79500,79700,9768108,0.0037783375314861534
131,5302,2021-07-13,80000,80200,79800,79800,9863450,0.0012547051442910462
132,5303,2021-07-14,79400,79600,79100,79500,11575636,-0.003759398496240629
133,5304,2021-07-15,79800,80600,79500,80600,13766279,0.01383647798742138
134,5305,2021-07-16,80100,80100,79500,79800,10859399,-0.00992555831265507
135,5306,2021-07-19,79100,79200,78800,79000,13155414,-0.010025062656641603
136,5307,2021-07-20,78500,79000,78400,79000,12456646,0.0
137,5308,2021-07-21,79000,79100,78500,78500,12355296,-0.006329113924050667
138,5309,2021-07-22,79000,79800,78900,79700,12618790,0.015286624203821653
139,5310,2021-07-23,79700,79900,79200,79300,9098910,-0.005018820577164407
140,5311,2021-07-26,79400,79500,78800,78800,10040975,-0.006305170239596425
141,5312,2021-07-27,79200,79400,78500,78500,11427693,-0.0038071065989847552
142,5313,2021-07-28,78300,79200,78100,79200,12743417,0.008917197452229297
143,5314,2021-07-29,78800,79400,78800,79000,14360453,-0.002525252525252486
144,5315,2021-07-30,78900,78900,78500,78500,13823411,-0.006329113924050667
145,5316,2021-08-02,79200,79500,78700,79300,11739124,0.010191082802547768
146,5317,2021-08-03,79400,81400,79300,81400,24339360,0.02648171500630525
147,5318,2021-08-04,82200,83100,81800,82900,25642368,0.01842751842751844
148,5319,2021-08-05,83300,83300,82000,82100,18485469,-0.00965018094089265
149,5320,2021-08-06,81900,82500,81300,81500,13342623,-0.0073081607795371095
150,5321,2021-08-09,81500,82300,80900,81500,15522581,0.0
151,5322,2021-08-10,82300,82400,80100,80200,20362639,-0.015950920245398792
152,5323,2021-08-11,79600,79800,78500,78500,30241137,-0.021197007481296715
